"","alpha_1","beta_w1_1","beta_w2_1","beta_ta1_1","beta_ta2_1","beta_Ec1_1","beta_Ec2_1","beta_wta_1","beta_wEc_1","beta_taEc_1","alpha_2","beta_w1_2","beta_w2_2","beta_ta1_2","beta_ta2_2","beta_Ec1_2","beta_Ec2_2","beta_wta_2","beta_wEc_2","beta_taEc_2","alpha_3","beta_w1_3","beta_w2_3","beta_ta1_3","beta_ta2_3","beta_Ec1_3","beta_Ec2_3","beta_wta_3","beta_wEc_3","beta_taEc_3","alpha_4","beta_w1_4","beta_w2_4","beta_ta1_4","beta_ta2_4","beta_Ec1_4","beta_Ec2_4","beta_wta_4","beta_wEc_4","beta_taEc_4","sigma_1","sigma_2","sigma_3","sigma_4","asc_2","x_female_2","x_mayor45_2","x_underage_in_household_2","x_only_worker_2","x_university_2","x_metropolitana_2","asc_3","x_female_3","x_mayor45_3","x_underage_in_household_3","x_only_worker_3","x_university_3","x_metropolitana_3","asc_4","x_female_4","x_mayor45_4","x_underage_in_household_4","x_only_worker_4","x_university_4","x_metropolitana_4"
"beta_w2_4",-14.5519152283669,29.1038304567337,-763.97554948926,72.7595761418343,-4067.26030632854,796.717358753085,-163676.304509863,240.106601268053,-5973.56120124459,-16272.6792041212,-3.63797880709171,-29.1038304567337,-422.005541622639,69.1215973347425,-1437.00162880123,-2415.6179279089,1304983.01587068,-83.6735125631094,-51433.7443746626,5387.84661330283,-29.1038304567337,18.1898940354586,8218.19412522018,80.0355337560177,7243.2158049196,5780.74832446873,7032522.26230688,7188.64612281322,275842.467090115,226587.8720209,-2735.76006293297,-790769.26340349,-237070038.565435,22573.6584980041,-2773009.32793878,-922260.369407013,-801831440.185197,7188526.06951259,-281946322.502336,40396153.0537345,-3.63797880709171,0,-76.397554948926,58.2076609134674,-7.27595761418343,47.2937244921923,-10.9139364212751,0,10.9139364212751,-36.3797880709171,10.9139364212751,-94.5874489843845,-40.0177668780088,-94.5874489843845,0,-87.3114913702011,-80.0355337560177,32.7418092638254,160.071067512035,7.27595761418343,167.347025126219,0,94.5874489843845,134.605215862393,-40.0177668780088
"beta_ta1_4",3.63797880709171,0,72.7595761418343,-323.780113831162,3772.58402295411,-949.512468650937,161868.229042739,847.649062052369,2855.81336356699,20907.4642043561,3.63797880709171,-7.27595761418343,69.1215973347425,-21.8278728425503,3616.15093424916,-258.296495303512,2451.99771597981,-109.139364212751,803.993316367269,964.064383879304,3.63797880709171,-14.5519152283669,80.0355337560177,-25.465851649642,-1182.34311230481,454.747350886464,124276.99402906,381.98777474463,5125.91213919222,3437.88997270167,18.1898940354586,43.6557456851006,22573.6584980041,-774.889485910535,23970.6423599273,-2033.63015316427,683052.348904312,-8683.85541252792,118452.589958906,64646.8834020197,3.63797880709171,7.27595761418343,18.1898940354586,3.63797880709171,-10.9139364212751,-18.1898940354586,-10.9139364212751,0,-3.63797880709171,3.63797880709171,0,65.4836185276508,32.7418092638254,65.4836185276508,3.63797880709171,29.1038304567337,14.5519152283669,7.27595761418343,-7.27595761418343,7.27595761418343,-7.27595761418343,0,-10.9139364212751,-14.5519152283669,0
"beta_ta2_4",-327.418092638254,844.011083245277,-4063.62232752144,3772.58402295411,-259857.188211754,20896.5502679348,-3333068.88933294,-7305.06144464016,-49345.544539392,-827421.899884939,-25.465851649642,-112.777343019843,-1437.00162880123,3612.51295544207,-49782.101996243,960.426405072212,354018.993675709,-7090.42069502175,-6129.99428994954,-211592.123378068,-25.465851649642,381.98777474463,7239.57782611251,-1182.34311230481,39883.1616621464,3441.52795150876,3299304.80802432,-1451.55354402959,126536.178868264,306317.815557122,-774.889485910535,-8683.85541252792,-2773009.32793878,23970.6423599273,-1190401.23536251,64639.6074444056,-33439093.3858231,149593.688547611,-4675563.10468353,-2795535.69271229,-192.812876775861,-105.50138540566,-225.554686039686,-134.605215862393,1364.24205265939,887.666828930378,1298.75843413174,0,392.901711165905,247.382558882236,160.071067512035,-145.519152283669,-145.519152283669,-167.347025126219,0,-101.863406598568,0,-7.27595761418343,-807.63129517436,-829.459168016911,-749.423634260893,0,-127.32925824821,-280.124368146062,-163.709046319127
"beta_Ec1_4",58.2076609134674,-160.071067512035,800.355337560177,-945.874489843845,20900.1882467419,-7563.35793994367,805343.0065047,2852.1753847599,16756.5303854644,161937.350640073,-21.8278728425503,-90.9494701772928,-2415.6179279089,-258.296495303512,964.064383879304,5049.5145842433,-3478606.23151064,807.63129517436,51142.7060700953,1778.97163666785,36.3797880709171,-251.020537689328,5784.38630327582,454.747350886464,3445.16593031585,1324.22428578138,2020820.8297845,5122.27416038513,179134.076461196,126899.976748973,94.5874489843845,-3470.63178196549,-922260.369407013,-2033.63015316427,64639.6074444056,-83706.2543723732,17322669.0094452,118441.676022485,-3432200.17384738,684081.896906719,14.5519152283669,7.27595761418343,47.2937244921923,-18.1898940354586,-334.694050252438,-181.898940354586,-327.418092638254,0,-185.536919161677,-69.1215973347425,-3.63797880709171,181.898940354586,65.4836185276508,181.898940354586,3.63797880709171,72.7595761418343,54.5696821063757,58.2076609134674,-72.7595761418343,94.5874489843845,-72.7595761418343,0,-3.63797880709171,-43.6557456851006,-94.5874489843845
"beta_Ec2_4",-7570.63389755785,16887.4976225197,-189545.971807092,161679.05414477,-3328626.91720948,913598.341867328,-38195634.2607737,-475873.093819246,-2455679.35053259,-36105779.1451458,5202.30969414115,55049.8953089118,1337597.49587625,1266.01662486792,391566.572943702,-3795408.7019898,2077238754.28201,-772619.38713491,-58152178.0986805,-626245.309831575,1498.84726852179,187304.976861924,6980091.71173908,132047.716761008,3431316.14499725,1927721.31413221,4584776816.04563,5299403.71052362,152946435.264312,93906983.2384121,-82935.0028652698,-3429773.64198305,-801831440.185197,683052.348904312,-33439093.3858231,17322669.0094452,-34920964841.1488,93010323.3258706,-2013476128.92278,-122572408.145061,-3434.25199389458,-3012.24645227194,-18371.7929758132,6137.27024756372,101856.130640954,51331.8809680641,100360.921351239,0,66971.5518597513,67520.8866596222,7992.63943918049,-26680.9365712106,-11285.0102595985,-27317.5828624517,3.63797880709171,-22362.6557271928,-2917.65900328755,7181.37016519904,-28485.3740595281,-43000.909499824,-25000.1903623343,0,-6708.43292027712,-47726.6439702362,6202.75386609137
"beta_wta_4",0,69.1215973347425,240.106601268053,844.011083245277,-7312.33740225434,2852.1753847599,-468884.536530823,-4067.26030632854,-16250.8513312787,-49378.2863486558,-10.9139364212751,69.1215973347425,-87.3114913702011,-112.777343019843,-7094.05867382884,803.993316367269,-759933.755034581,-1437.00162880123,5100.44628754258,-6344.63503956795,-18.1898940354586,80.0355337560177,7188.64612281322,381.98777474463,-1447.9155652225,5118.63618157804,5060363.03704605,7235.93984730542,226707.925321534,126496.161101386,43.6557456851006,22566.3825403899,7188526.06951259,-8683.85541252792,149593.688547611,118441.676022485,93010323.3258706,-2773009.32793878,40397091.6522667,-4675042.87371412,7.27595761418343,-14.5519152283669,-21.8278728425503,-50.931703299284,112.777343019843,94.5874489843845,112.777343019843,-3.63797880709171,36.3797880709171,36.3797880709171,29.1038304567337,-112.777343019843,-76.397554948926,-109.139364212751,0,-61.8456397205591,10.9139364212751,10.9139364212751,-145.519152283669,-61.8456397205591,-141.881173476577,0,-14.5519152283669,-69.1215973347425,-54.5696821063757
"beta_wEc_4",-160.071067512035,796.717358753085,-6053.59673500061,2855.81336356699,-49374.6483698487,16723.7885762006,-2646309.4400242,-16290.8690981567,-191143.044503406,-477739.376947284,-90.9494701772928,-2408.34197029471,-51688.4028911591,803.993316367269,-6220.94376012683,51080.8604303747,-55213069.5723463,5191.39575771987,1248921.76245339,-739448.296371847,-251.020537689328,5802.57619731128,274161.720881239,5136.8260756135,126827.217172831,178530.171979219,151308177.009923,227126.29288435,6714519.25882138,5113161.02347337,-3470.63178196549,-922282.197279856,-281946322.502336,118452.589958906,-4675563.10468353,-3432200.17384738,-2013476128.92278,40397091.6522667,-801816702.733049,92934362.3283785,-58.2076609134674,-156.433088704944,-389.263732358813,229.192664846778,964.064383879304,618.456397205591,869.476934894919,0,-178.260961547494,50.931703299284,316.504156216979,-734.871719032526,-483.851181343198,-753.061613067985,3.63797880709171,-931.322574615479,-447.471393272281,683.940015733242,505.679054185748,-36.3797880709171,691.215973347425,0,1200.53300634027,323.780113831162,-1131.41140900552
"beta_taEc_4",-953.150447458029,2848.53740595281,-16287.2311193496,20885.6363315135,-826999.894343317,161871.867021546,-35592685.8901512,-49334.6306029707,-477233.697893098,-3341916.45379178,-261.934474110603,807.63129517436,5315.08703716099,953.150447458029,-211366.568692029,1720.76397575438,-1493099.26200658,-6253.68556939065,-737800.291972235,367868.778994307,451.109372079372,5129.55011799932,226864.358410239,3448.80390912294,306594.301946461,127049.133880064,90059318.6088372,126656.232168898,5109526.68264508,3330489.56235871,-2037.26813197136,118434.400064871,40396153.0537345,64646.8834020197,-2795535.69271229,684081.896906719,-122572408.145061,-4675042.87371412,92934362.3283785,-33509462.8098886,-607.542460784316,-520.230969414115,-840.373104438186,-1036.82396002114,2975.86666420102,2808.5196390748,2943.1248549372,-3.63797880709171,1124.13545139134,556.610757485032,702.129909768701,-1757.1437638253,-1338.77620100975,-1760.78174263239,0,-1484.29535329342,385.625753551722,385.625753551722,-3477.90773957968,-2211.89111471176,-3401.51018463075,0,563.886715099216,-1065.92779047787,-1411.53577715158
"sigma_1",-3.63797880709171,18.1898940354586,90.9494701772928,-29.1038304567337,-920.408638194203,192.812876775861,-10724.7615233064,36.3797880709171,-280.124368146062,1255.10268844664,0,-3.63797880709171,-65.4836185276508,-21.8278728425503,-25.465851649642,-54.5696821063757,-8116.33071862161,134.605215862393,-458.385329693556,1120.49747258425,0,0,-83.6735125631094,25.465851649642,-170.985003933311,0,-16443.6642080545,-167.347025126219,-1316.9483281672,-1837.17929758132,0,3.63797880709171,-3.63797880709171,3.63797880709171,-192.812876775861,14.5519152283669,-3434.25199389458,7.27595761418343,-58.2076609134674,-607.542460784316,-14.5519152283669,0,0,0,0,0,-3.63797880709171,-3.63797880709171,-3.63797880709171,0,3.63797880709171,10.9139364212751,7.27595761418343,7.27595761418343,7.27595761418343,3.63797880709171,3.63797880709171,3.63797880709171,3.63797880709171,3.63797880709171,0,0,0,3.63797880709171,0
"sigma_2",0,0,-18.1898940354586,21.8278728425503,112.777343019843,10.9139364212751,-4201.86552219093,-112.777343019843,-163.709046319127,-1877.19706445932,7.27595761418343,-10.9139364212751,116.415321826935,10.9139364212751,1251.46470963955,-229.192664846778,18022.5470103323,-43.6557456851006,287.400325760245,1426.08769237995,-3.63797880709171,3.63797880709171,-130.967237055302,-10.9139364212751,94.5874489843845,-14.5519152283669,-1768.05770024657,-18.1898940354586,-1025.91002359986,680.30203692615,0,0,0,7.27595761418343,-105.50138540566,7.27595761418343,-3012.24645227194,-14.5519152283669,-156.433088704944,-520.230969414115,0,-25.465851649642,3.63797880709171,3.63797880709171,-7.27595761418343,-7.27595761418343,0,-7.27595761418343,-3.63797880709171,-7.27595761418343,0,14.5519152283669,7.27595761418343,3.63797880709171,7.27595761418343,3.63797880709171,7.27595761418343,3.63797880709171,3.63797880709171,3.63797880709171,0,0,0,3.63797880709171,0
